level1,level2,level3,level4
,,rosemary,rosemary oil
,,rosemary,sage rosemary
,,rubber,natural rubber
,,rubber,rubber
,,rubber,rubbery
unknown,unknown,rust,rust
unknown,unknown,rust,rustic
unknown,unknown,rust,rusty nail
,,rust,rusty
,,saddle,saddle
primary aroma,noble rot,saffron,saffron
,,sage,dried sage
,,sage,fresh sage
,,sage,grilled sage
,,sage,mint sage
,,sage,powdered sage
,,sage,roasted sage
,,sage,sage
,,sage,smoky sage
,,sage,toasty sage
,,sagebrush,sagebrush
,,salad,green salad
,,salmon,salmon
primary aroma,earth,salt,brine
primary aroma,earth,salt,rock salt
primary aroma,earth,salt,salt
primary aroma,earth,salt,sea salt
,,salt,salted
tertiary,oak aging,sandalwood,sandalwood
,,sandalwood,smoky sandalwood
,,sanguine,sanguine
unknown,unknown,sassafras,sassafras
,,sawdust,sawdust
,,scallops,scallops
,,sesame,sesame
,,sesame,toasted sesame
,,shell,shell
,,sherbet,sherbet
,,sherry,sherry
,,shoe polish,shoe polish
,,nutty,nut skin
,,slate,black slate
,,slate,crushed slate
primary aroma,earth,slate,slate
primary aroma,earth,slate,slatey
,,slate,wet slate
unknown,unknown,sloe,blackthorn
unknown,unknown,sloe,sloe
,,smoke,game smoke
,,smoke,gun smoke
,,smoke,pipe smoke
tertiary,oak aging,smoke,smoke
tertiary,oak aging,smoke,smokey
tertiary,oak aging,smoke,smoky
tertiary,oak aging,smoke,woodsmoke
unknown,unknown,smoked duck,smoked duck
,,smoked herbs,smoked herbs
primary aroma,herb,smoked herbs,smoky herb
,,smoked spice,smoked spice
,,smoky spice,smoky spice
,,smoky spice,smoky spices
,,smoky spice,smoky spicy
secondary,microbial,sourdough,sourdough
unknown,unknown,soy,soy
,,soy,soy sauce
primary aroma,mint,spearmint,spear mint
primary aroma,mint,spearmint,spearmint
primary aroma,spice,spice box,spice box
primary aroma,spice,spicecake,spice cake
,,spicecake,spicecake
,,spices,dry spice
,,spices,ginger spice
,,spices,gingery spice
,,spices,green spice
,,spices,ground spice
,,spices,indian spice
,,spices,mint spice
,,spices,old spice
,,spices,oriental spice
,,spices,pepper spice
,,spices,dry spices
,,spices,green spices
,,spices,ground spices
,,spices,mediterranean spices
,,spices,mint spices
,,spices,oriental spices
,,spices,pepper spices
,,spicy herbs,spicy herb
,,spicy herbs,spicy herbal
,,spicy herbs,spicy herbs
,,spinach,spinach
primary aroma,flower,spring flower,spring flower
primary aroma,tropical fruit,star fruit,carambola
primary aroma,tropical fruit,star fruit,star fruit
primary aroma,tropical fruit,star fruit,starfruit
,,stem,green stem
faults,cooked,stewed fruit,stewed fruit
,,stone,crushed gravel
,,stone,crushed rocks
primary aroma,earth,stone,crushed stone
,,stone,crushed stones
,,stone,dried stone
,,stone,powdered stone
primary aroma,earth,stone,stone
,,stone,stones
,,stone,stoney
primary aroma,earth,stone,stony
,,stone,wet pebbles
,,stone,wet rock
,,stone,wet rocks
primary aroma,earth,stone,wet stone
primary aroma,earth,stone,wet stones
,,strawberry,ripe strawberries
,,strawberry,baked strawberry
,,strawberry,candied strawberry
,,strawberry,cooked strawberries
,,strawberry,cooked strawberry
primary aroma,red fruit,strawberry,crushed strawberries
,,strawberry,crushed strawberry
,,strawberry,dried strawberries
,,strawberry,dried strawberry
,,strawberry,fresh strawberries
,,strawberry,fresh strawberry
primary aroma,red fruit,strawberry,green strawberries
primary aroma,red fruit,strawberry,green strawberry
,,strawberry,jammy strawberry
,,strawberry,macerated strawberry
,,strawberry,overripe strawberry
,,strawberry,ripe strawberry
,,strawberry,roasted strawberry
,,strawberry,sliced strawberries
,,strawberry,sliced strawberry
,,strawberry,spicy strawberry
,,strawberry,stewed strawberries
,,strawberry,stewed strawberry
primary aroma,red fruit,strawberry,strawberries
primary aroma,red fruit,strawberry,strawberry
primary aroma,red fruit,strawberry,strawberry jam
,,strawberry,strawberry juice
,,strawberry,strawberry licorice
,,strawberry,strawberry liqueur
,,strawberry,strawberry pie
,,strawberry,strawberry preserve
,,strawberry,tart strawberries
,,strawberry,tart strawberry
,,strawberry,underripe strawberry
,,strawberry,unripe strawberry
primary aroma,red fruit,strawberry,wild strawberry
,,struck match,struck match
,,succulent herbs,succulent herb
,,succulent herbs,succulent herbs
,,sulphur,sulfur
,,sulphur,sulphur
primary aroma,herb,sweet herbs,sweet herb
primary aroma,spice,sweet spice,sweet spice
,,talcum powder,talc
,,talcum powder,talcum
,,talcum powder,talcum powder
,,tangerine,ripe tangerine
unknown,unknown,tangerine,tangerine
,,tangerine,tangerine oil
,,tangerine,tangerine peel
,,tangerine,tangerine rind
unknown,unknown,tangerine,tangerine skin
,,tangerine,tart tangerine
unknown,unknown,tapenade,tapenade
,,tar,melted tar
,,tar,tar
primary aroma,herb,tarragon,tarragon
,,tea,chai
,,tea,green tea
,,tea,smoky black tea
,,tea,stewed tea
,,tea,tea
,,tea,tea leaf
,,tea,tea spice
unknown,unknown,tea,tea leaves
primary aroma,earth,terracotta,baked earth
primary aroma,earth,terracotta,terra cotta
primary aroma,earth,terracotta,terracotta
primary aroma,earth,terracotta,wet terra cotta
primary aroma,earth,terracotta,wet terracotta
,,thyme,dried thyme
primary aroma,herb,thyme,thyme
primary aroma,earth,tilled earth,tilled soil
,,toast,burnt toast
,,toast,buttered toast
,,toast,buttery toast
,,toast,honeyed toast
,,toast,marmite toast
tertiary,oak aging,toast,toast
tertiary,oak aging,toast,toasty
,,toasted herbs,toasted herb
,,toasted spices,toasted spice
,,toasted spices,toasted spices
,,toasty,ripe toasty
,,tobacco,aged tobacco
,,tobacco,cigar ash
,,tobacco,cigar smoke
,,tobacco,cigar tobacco
,,tobacco,cigarbox
,,tobacco,cigars
,,tobacco,cured tobacco
,,tobacco,dried tobacco
tertiary,general aging,tobacco,dried tobacco leaf
,,tobacco,dried tobacco leaves
tertiary,general aging,tobacco,fresh tobacco
,,tobacco,fresh tobacco leaf
,,tobacco,green tobacco
,,tobacco,leafy tobacco
,,tobacco,pepper tobacco
tertiary,general aging,tobacco,pipe tobacco
,,tobacco,sage tobacco
,,tobacco,smoky tobacco
,,tobacco,spicy tobacco
tertiary,general aging,tobacco,sweet tobacco
tertiary,general aging,tobacco,tobacco
,,tobacco,tobacco box
tertiary,general aging,tobacco,tobacco leaf
,,tobacco,tobacco leaves
,,tobacco,tobacco licorice
tertiary,general aging,tobacco,tobacco nuts
,,tobacco,tobacco smoke
,,tobacco,tobbaco
,,tobacco,unsmoked cigars
,,tobacco,wet tobacco
,,toffee,burnt toffee
faults,cooked,toffee,toffee
,,tomato,crushed tomato
,,tomato,crushed tomatoes
,,tomato,dried tomatoes
,,tomato,green tomato
,,tomato,ripe tomato
,,tomato,ripe tomatoes
,,tomato,roasted tomato
,,tomato,roasted tomatoes
,,tomato,stewed tomato
,,tomato,stewed tomatoes
,,tomato,sundried tomato
,,tomato,sundried tomatoes
primary aroma,vegetable,tomato,tomato
,,tomato,tomato juice
,,tomato,tomatoes
primary aroma,vegetable,tomato leaf,tomato leaf
primary aroma,vegetable,tomato leaf,tomato leaves
unknown,unknown,treacle,treacle
primary aroma,tree fruit,tree fruit,tree fruit
secondary,microbial,truffle,chocolate truffle
secondary,microbial,truffle,truffle
secondary,microbial,truffle,truffle oil
secondary,microbial,truffle,truffles
secondary,microbial,truffle,white truffle
secondary,microbial,truffle,white truffles
,,turmeric,turmeric
unknown,unknown,turnip greens,creamy turnip greens
unknown,unknown,turnip greens,turnip greens
primary aroma,earth,underbrush,forest underbrush
primary aroma,earth,underbrush,underbrush
tertiary,oak aging,vanilla,buttery vanilla
tertiary,oak aging,vanilla,caramel vanilla
tertiary,oak aging,vanilla,roasted vanilla
tertiary,oak aging,vanilla,roasted vanilla bean
tertiary,oak aging,vanilla,smoky vanilla
tertiary,oak aging,vanilla,soft vanilla
tertiary,oak aging,vanilla,spicy vanilla
tertiary,oak aging,vanilla,toasted vanilla
tertiary,oak aging,vanilla,vanila
tertiary,oak aging,vanilla,vanilla
tertiary,oak aging,vanilla,vanilla bean
tertiary,oak aging,vanilla,vanilla beans
tertiary,oak aging,vanilla,vanilla cake
tertiary,oak aging,vanilla,vanilla licorice
tertiary,oak aging,vanilla,vanilla pod
tertiary,oak aging,vanilla,vanilla seed
tertiary,oak aging,vanilla,vanilla spice
tertiary,oak aging,vanilla,vanilla toast
tertiary,oak aging,vanilla,vanille
tertiary,oak aging,vanilla,vanillin
tertiary,oak aging,vanilla,vanillin oak
tertiary,oak aging,vanilla,vanillin oak spice
,,verbena,lemon beebrush
,,verbena,lemon verbena
primary aroma,flower,verbena,verbena
faults,volatile acidity,vinegar,vinegar
primary aroma,flower,violet,blue violet
primary aroma,flower,violet,blue violets
primary aroma,flower,violet,candied violet
primary aroma,flower,violet,candied violets
primary aroma,flower,violet,crushed violet
primary aroma,flower,violet,crushed violets
primary aroma,flower,violet,dried violet
primary aroma,flower,violet,dried violets
primary aroma,flower,violet,fresh violet
primary aroma,flower,violet,fresh violets
primary aroma,flower,violet,pressed violet
primary aroma,flower,violet,pressed violets
primary aroma,flower,violet,violet
primary aroma,flower,violet,violets
primary aroma,flower,violet,violetty
primary aroma,flower,violet,violety
primary aroma,earth,volcanic rocks,volcanic rocks
,,walnut,bitter walnut
,,walnut,bitter walnuts
,,walnut,green walnut
,,walnut,green walnuts
,,walnut,grilled walnut
,,walnut,grilled walnuts
,,walnut,roasted walnut
,,walnut,roasted walnuts
,,walnut,smoked walnut
,,walnut,smoked walnuts
,,walnut,toasted walnut
,,walnut,toasted walnuts
unknown,unknown,walnut,walnut
,,walnut,walnut oil
,,walnut,walnut shell
,,walnut,walnuts
,,watermelon,watermelon
primary aroma,noble rot,wax,wax
primary aroma,earth,wet clay pot,wet clay pot
faults,tca,wet dog,wet dog
primary aroma,flower,white blossom,white blossom
primary aroma,flower,white blossom,whiteblossom
primary aroma,flower,white flower,dried white flower
primary aroma,flower,white flower,dried white flowers
primary aroma,flower,white flower,white flower
primary aroma,flower,white flower,white flowers
primary aroma,spice,white pepper,crushed white pepper
primary aroma,spice,white pepper,white pepper
primary aroma,spice,white pepper,whitepepper
primary aroma,flower,wilted petals,wilted petal
primary aroma,flower,wilted petals,wilted petals
unknown,unknown,wood,bark
unknown,unknown,wood,burnt wood
unknown,unknown,wood,damp wood
unknown,unknown,wood,dried wood
unknown,unknown,wood,dry wood
unknown,unknown,wood,dry woody
unknown,unknown,wood,forest wood
unknown,unknown,wood,fresh wood
unknown,unknown,wood,grilled wood
unknown,unknown,wood,mossy bark
unknown,unknown,wood,new wood
unknown,unknown,wood,old wood
unknown,unknown,wood,pine wood
unknown,unknown,wood,polished wood
unknown,unknown,wood,roasted wood
unknown,unknown,wood,sandal wood
unknown,unknown,wood,smoked wood
unknown,unknown,wood,smoky wood
unknown,unknown,wood,toasted wood
unknown,unknown,wood,toasty barrel
unknown,unknown,wood,toasty wood
unknown,unknown,wood,tree bark
unknown,unknown,wood,wet wood
unknown,unknown,wood,wood
unknown,unknown,wood,wood shaving
unknown,unknown,wood,wood shavings
unknown,unknown,wool,wet wool
unknown,unknown,wool,wool
unknown,unknown,yeast,toasty yeast
unknown,unknown,yeast,yeast
unknown,unknown,yeast,yeasts
unknown,unknown,yeast,yeasty
primary aroma,tree fruit,yellow apple,baked yellow apple
primary aroma,tree fruit,yellow apple,baked yellow apples
primary aroma,tree fruit,yellow apple,creamed yellow apple
primary aroma,tree fruit,yellow apple,creamed yellow apples
primary aroma,tree fruit,yellow apple,ripe yellow apple
primary aroma,tree fruit,yellow apple,ripe yellow apples
primary aroma,tree fruit,yellow apple,yellow apple
primary aroma,tree fruit,yellow apple,yellow apples
primary aroma,flower,yellow flower,yellow flower
primary aroma,flower,yellow flower,yellow flowers
primary aroma,citrus,yuzu,yuzu
primary aroma,citrus,yuzu,yuzu fruit
primary aroma,citrus,yuzu,yuzu fruits
primary aroma,citrus,yuzu,yuzu zest
